stabbr,hgroup,pgroup,hnum,pnum,hpratio,popshare
CA,"[0,25)","[80,85)",184.90595238095239,929,0.19903762366087446,0.0015053456785722387
CA,"[25,35)","[80,85)",661.6688672438672,3794,0.17439875256823067,0.006147773417118486
CA,"[35,45)","[80,85)",2959.1501276501276,15887,0.18626236090200338,0.025743193536573904
CA,"[45,55)","[80,85)",9316.549125874126,47289,0.19701302894698822,0.07662679418084241
CA,"[55,65)","[80,85)",10717.171331446332,45546,0.23530433696584402,0.07380244809069018
CA,"[65,75)","[80,85)",9140.496311858076,23835,0.3834905102520695,0.03862208207617795
CA,"[75,100)","[80,85)",309373.8368825619,479854,0.64472493067175,0.7775523630200248
CA,"[0,25)","[85,100)",105.10714285714286,570,0.1843984962406015,8.945189528164792e-4
CA,"[25,35)","[85,100)",618.1301587301588,3586,0.1723731619437141,0.0056276227452629725
CA,"[35,45)","[85,100)",1499.5367771117772,8064,0.185954461447393,0.012655089185108928
CA,"[45,55)","[85,100)",7365.210556110556,36637,0.20103203199253641,0.05749559802515324
CA,"[55,65)","[85,100)",16051.809496059495,67160,0.23900847969117772,0.10539630328272763
CA,"[65,75)","[85,100)",11139.017742551567,40116,0.277670199983836,0.0629553023003261
CA,"[75,100)","[85,100)",343103.1645271395,481081,0.7131920914090133,0.7549755655086047
