stabbr,year,cpspit_pc,cpspit_level,wcpit_pc,wcpit_level,wcpop_state,wcpit_level_pc2020
OK,2010,876.7342484675588,3396741348.9471445,883.5260605110652,3314416370.6242447,3751351,3269611193.8260694
OK,2020,876.7342484675588,3396741348.9471445,871.5823162978003,3540332147.047231,4061959.5887229755,3540332147.047231
OK,2030,876.7342484675588,3396741348.9471445,851.903258914859,3743147114.973833,4393864.063557868,3829614218.0134315
OK,2040,876.7342484675588,3396741348.9471445,852.949387237468,3967710250.6892676,4651753.445230654,4054386042.6404066
OR,2010,1990.4167203518891,8302043227.946469,1943.5635327144123,7445935717.530334,3831074,7286127018.673818
OR,2020,1990.4167203518891,8302043227.946469,1901.8497211679592,8019771068.046187,4216826.90213878,8019771068.046187
OR,2030,1990.4167203518891,8302043227.946469,1877.5840075817046,8705896619.364094,4636754.778592909,8818410782.791126
OR,2040,1990.4167203518891,8302043227.946469,1867.7977900414407,9320332217.124033,4990011.37425976,9490251740.760868
PA,2010,873.2474861763815,10984080019.77737,885.359108937677,11246166952.828661,12702379,11078841180.631
PA,2020,873.2474861763815,10984080019.77737,872.1863188486976,11245770886.164711,12893771.254070276,11245770886.16471
PA,2030,873.2474861763815,10984080019.77737,838.4169153398428,10962207256.635103,13074887.989576995,11403738424.988209
PA,2040,873.2474861763815,10984080019.77737,830.3395546976659,10774838580.690765,12976424.547923626,11317859958.271383
RI,2010,1137.8092950235439,1195260381.170565,1081.2400931201514,1138077641.0951984,1052567,1160443229.8909616
RI,2020,1137.8092950235439,1195260381.170565,1102.4887060785315,1168290811.9843004,1059685.0612101252,1168290811.9843004
RI,2030,1137.8092950235439,1195260381.170565,1081.5154142056763,1152655982.746993,1065778.5988131904,1175008868.3717446
RI,2040,1137.8092950235439,1195260381.170565,1074.3967573079058,1127147936.708705,1049098.4164294917,1156619155.6783867
SC,2010,1148.4699717942915,5673125268.671269,1150.683591627703,5322330460.105479,4625364,5207877971.448474
SC,2020,1148.4699717942915,5673125268.671269,1125.9390550556614,5803961220.969215,5154773.870671263,5803961220.969215
SC,2030,1148.4699717942915,5673125268.671269,1090.8146854394768,6260188614.292425,5739002.873591005,6461767472.452781
SC,2040,1148.4699717942915,5673125268.671269,1082.468834493918,6769205838.568979,6253487.973844307,7041046340.072201
SD,2010,0,0,0,0,814180,0
SD,2020,0,0,0,0,900612.4145860395,0
SD,2030,0,0,0,0,995218.7505459277,0
SD,2040,0,0,0,0,1076361.6688590038,0
TN,2010,44.500299189562256,297734786.007475,42.386429991190866,268988735.2992463,6346105,288647680.20050055
TN,2020,44.500299189562256,297734786.007475,45.48422697079556,311068739.63717854,6839046.420133931,311068739.63717854
TN,2030,44.500299189562256,297734786.007475,44.811562187481755,329941583.9732451,7362867.257178891,334894325.48136365
TN,2040,44.500299189562256,297734786.007475,43.81706553362801,339938796.23498034,7758136.974601587,352872863.0232998
TX,2010,0,0,0,0,25145561,0
TX,2020,0,0,0,0,29755854.040631484,0
TX,2030,0,0,0,0,35176014.48547883,0
TX,2040,0,0,0,0,40698639.930722356,0
UT,2010,1299.7121591678554,4035944595.285465,1258.0332407383555,3477059203.5781293,2763885,3516836009.8409767
UT,2020,1299.7121591678554,4035944595.285465,1272.4248692839885,4100511358.590457,3222596.050718399,4100511358.590457
UT,2030,1299.7121591678554,4035944595.285465,1265.1417967734972,4748911729.854163,3753659.6624705284,4776249905.355642
UT,2040,1299.7121591678554,4035944595.285465,1259.7675224274578,5390801952.713263,4279203.787001649,5444965319.315122
VA,2010,1378.882590889589,11332053960.551474,1381.6272930100076,11054433130.428102,8001024,10869214346.706762
VA,2020,1378.882590889589,11332053960.551474,1358.4779081661,11878902191.985518,8744273.366963796,11878902191.985518
VA,2030,1378.882590889589,11332053960.551474,1314.9377058228263,12553654720.584578,9546957.749400828,12969331192.756174
VA,2040,1378.882590889589,11332053960.551474,1309.75589837945,13361514608.98457,10201530.396249149,13858553672.789429
VT,2010,1201.9281561167556,742812772.444625,1208.2432102482342,756047314.6239402,625741,747969428.0981555
VT,2020,1201.9281561167556,742812772.444625,1195.3338970886605,748654901.9961537,626314.4580937325,748654901.9961538
VT,2030,1201.9281561167556,742812772.444625,1163.8344274700753,728860783.8474443,626258.1400275555,748587583.102634
VT,2040,1201.9281561167556,742812772.444625,1153.1521183426253,706740508.3350031,612877.084552184,732592753.9140985
WA,2010,0,0,0,0,6724540,0
WA,2020,0,0,0,0,7599118.520182793,0
WA,2030,0,0,0,0,8578808.552656403,0
WA,2040,0,0,0,0,9478722.022145992,0
