stabbr,variable,2020,2040,change,pct_change
SD,wcpop_state,891688.0133264966,1043032.2762363397,151344.26290984312,16.972782032276527
SD,wcpit_pc,0,0,0,NaN
SD,wcpit_level,0,0,0,NaN
SD,wcpit_level_pc2020,0,0,0,NaN
TN,wcpop_state,6861855.960406318,7823662.491105372,961806.5306990538,14.016711167485674
TN,wcpit_pc,45.077465056491654,43.381525893573524,-1.6959391629181297,-3.7622771395701977
TN,wcpit_level,309315072.2778948,339402416.94046766,30087344.66257286,9.727086507941584
TN,wcpit_level_pc2020,309315072.2778948,352670872.55658686,43355800.27869207,14.016711167485674
TX,wcpop_state,29604099.489181202,40015912.84113581,10411813.351954605,35.170174170504986
TX,wcpit_pc,0,0,0,NaN
TX,wcpit_level,0,0,0,NaN
TX,wcpit_level_pc2020,0,0,0,NaN
UT,wcpop_state,3240568.975306131,4344338.8632934,1103769.887987269,34.060990412432055
UT,wcpit_pc,1273.0356664360306,1264.7071929280482,-8.32847350798238,-0.6542215373508454
UT,wcpit_level,4125359885.1107655,5494316608.924024,1368956723.8132582,33.183934539968064
UT,wcpit_level_pc2020,4125359885.1107655,5530498320.056662,1405138434.9458961,34.06099041243206
VA,wcpop_state,8655021.326799735,9876728.20122109,1221706.8744213544,14.115584795134067
VA,wcpit_pc,1361.2276975594114,1315.1853506043515,-46.042346955059884,-3.3824133198002566
VA,wcpit_level,11781454753.007206,12989728242.146845,1208273489.139639,10.255724055055495
VA,wcpit_level_pc2020,11781454753.007206,13444475988.768291,1663021235.7610855,14.11558479513407
VT,wcpop_state,622868.3341247839,601865.3693404896,-21002.96478429425,-3.3719750441008243
VT,wcpit_pc,1193.5062788972778,1143.8309553638342,-49.67532353344359,-4.1621334057279
VT,wcpit_level,743397267.704217,688432240.4131391,-54965027.29107785,-7.393762350085385
VT,wcpit_level_pc2020,743397267.7042171,718330097.3587035,-25067170.345513582,-3.3719750441008225
WA,wcpop_state,7681818.417090161,9776125.552155716,2094307.1350655556,27.263168970594727
WA,wcpit_pc,0,0,0,NaN
WA,wcpit_level,0,0,0,NaN
WA,wcpit_level_pc2020,0,0,0,NaN
WI,wcpop_state,5837176.390488933,5997136.793665185,159960.4031762518,2.7403729556107046
WI,wcpit_pc,1309.378142401184,1269.0495124684915,-40.32862993269259,-3.079983438453961
WI,wcpit_level,7643071179.046448,7610663524.207654,-32407654.838793755,-0.42401351602795023
WI,wcpit_level_pc2020,7643071179.046448,7852519834.615112,209448655.56866455,2.740372955610698
WV,wcpop_state,1801966.0658414897,1661849.2298883356,-140116.83595315414,-7.7757755048357025
WV,wcpit_pc,1028.417128378703,1007.2075038094962,-21.209624569206767,-2.062356215579926
WV,wcpit_level,1853172766.8685737,1673827014.543564,-179345752.32500958,-9.677767530982107
WV,wcpit_level_pc2020,1853172766.8685737,1709074212.800121,-144098554.0684526,-7.7757755048357025
WY,wcpop_state,585379.5914816796,615786.9993410456,30407.407859366038,5.194476934599058
