stabbr,agebrk,popgroup,year,cpspop,cpspop_state,cpspit_pc,cpspit_level,wcpop,wcpop_state,wcpit_pc_share,wcpit_level
VA,"(-1,4]",pop00_04,2010,516909.65,8218287.79,0,0,509625,8001024,0,0
WA,"(-1,4]",pop00_04,2010,463686.525,7367703.84,0,0,439657,6724540,0,0
WV,"(-1,4]",pop00_04,2010,98325.19,1806146.25,0,0,104060,1852994,0,0
WI,"(-1,4]",pop00_04,2010,356359.195,5797453.655,0,0,358443,5686986,0,0
WY,"(-1,4]",pop00_04,2010,39540.29,566710.98,0,0,40203,563626,0,0
AL,"(4,9]",pop05_09,2010,310474.635,4826664.225,0,0,308229,4779736,0,0
AK,"(4,9]",pop05_09,2010,46068.3,714741.33,0,0,50887,710231,0,0
AZ,"(4,9]",pop05_09,2010,437175.15,6946384.69,0,0,453680,6392017,0,0
AR,"(4,9]",pop05_09,2010,190184.55,2939165.475,0,0,196877,2915918,0,0
CA,"(4,9]",pop05_09,2010,2521147.75,39251639.415,0,0,2505839,37253956,0,0
CO,"(4,9]",pop05_09,2010,325816.925,5523826.185,0,0,348603,5029196,0,0
CT,"(4,9]",pop05_09,2010,219108.96,3564204.13,0,0,222571,3574097,0,0
DE,"(4,9]",pop05_09,2010,60933.2,959135.245,0,0,56486,897934,0,0
DC,"(4,9]",pop05_09,2010,37561.6,688986.71,0,0,26147,601723,0,0
FL,"(4,9]",pop05_09,2010,1171075.955,20741275.045,0,0,1080255,18801310,0,0
GA,"(4,9]",pop05_09,2010,689329.59,10273789.4,0,0,695161,9687653,0,0
HI,"(4,9]",pop05_09,2010,82737.105,1399406.85,0,0,83361,1360301,0,0
ID,"(4,9]",pop05_09,2010,121224.9,1706016.625,0,0,121195,1567582,0,0
IL,"(4,9]",pop05_09,2010,767390.145,12615713.62,0,0,859405,12830632,0,0
IN,"(4,9]",pop05_09,2010,437756.41,6526698.385,0,0,444821,6483802,0,0
IA,"(4,9]",pop05_09,2010,203598.835,3080441.835,0,0,200646,3046355,0,0
KS,"(4,9]",pop05_09,2010,213448.54,2870419.86,0,0,202447,2853118,0,0
KY,"(4,9]",pop05_09,2010,281933.34,4398353.07,0,0,282888,4339367,0,0
LA,"(4,9]",pop05_09,2010,306375.065,4562088.08,0,0,306362,4533372,0,0
ME,"(4,9]",pop05_09,2010,69636.69,1320428.625,0,0,74116,1328361,0,0
MD,"(4,9]",pop05_09,2010,400921.44,5956997.7,0,0,366868,5773552,0,0
MA,"(4,9]",pop05_09,2010,372942.81,6796065.885,0,0,385687,6547629,0,0
MI,"(4,9]",pop05_09,2010,548141.345,9901979.94,0,0,637784,9883640,0,0
MN,"(4,9]",pop05_09,2010,347077.49,5529119.945,0,0,355536,5303925,0,0
MS,"(4,9]",pop05_09,2010,203083.715,2949483.545,0,0,205672,2967297,0,0
MO,"(4,9]",pop05_09,2010,392968.25,5940267.25,0,0,390463,5988927,0,0
MT,"(4,9]",pop05_09,2010,64763.165,1037927.985,0,0,60765,989415,0,0
NE,"(4,9]",pop05_09,2010,125002.49,1876891.03,0,0,128928,1826341,0,0
NV,"(4,9]",pop05_09,2010,181238.91,2965758.475,0,0,183077,2700551,0,0
NH,"(4,9]",pop05_09,2010,62504.409999999996,1326922.185,0,0,77756,1316470,0,0
NJ,"(4,9]",pop05_09,2010,570387.3,8937419.165,0,0,564750,8791894,0,0
NM,"(4,9]",pop05_09,2010,134045.75,2044839.84,0,0,143308,2059179,0,0
NY,"(4,9]",pop05_09,2010,1204953.575,19619362.82,0,0,1163955,19378102,0,0
NC,"(4,9]",pop05_09,2010,611720.985,10188697.97,0,0,635945,9535483,0,0
ND,"(4,9]",pop05_09,2010,47106.185,746065.9450000001,0,0,40076,672591,0,0
OH,"(4,9]",pop05_09,2010,711602.705,11500300.835,0,0,747889,11536504,0,0
OK,"(4,9]",pop05_09,2010,261693.33,3874311.235,0,0,259336,3751351,0,0
OR,"(4,9]",pop05_09,2010,237610.675,4171007.58,0,0,237214,3831074,0,0
PA,"(4,9]",pop05_09,2010,714643.195,12578427.3,0,0,753635,12702379,0,0
RI,"(4,9]",pop05_09,2010,58324.115,1050492.72,0,0,60440,1052567,0,0
SC,"(4,9]",pop05_09,2010,346390.82,4939724.51,0,0,295853,4625364,0,0
SD,"(4,9]",pop05_09,2010,58772.14,863327.735,0,0,55531,814180,0,0
TN,"(4,9]",pop05_09,2010,415871.04,6690624.365,0,0,412181,6346105,0,0
TX,"(4,9]",pop05_09,2010,1978036.26,27889064.725,0,0,1928234,25145561,0,0
UT,"(4,9]",pop05_09,2010,251060.39,3105260.32,0,0,249572,2763885,0,0
VT,"(4,9]",pop05_09,2010,29224.315,618017.615,0,0,34654,625741,0,0
VA,"(4,9]",pop05_09,2010,511490.26,8218287.79,0,0,511849,8001024,0,0
WA,"(4,9]",pop05_09,2010,465037.495,7367703.84,0,0,429877,6724540,0,0
WV,"(4,9]",pop05_09,2010,104316.645,1806146.25,0,0,106016,1852994,0,0
WI,"(4,9]",pop05_09,2010,353635.26,5797453.655,0,0,368617,5686986,0,0
WY,"(4,9]",pop05_09,2010,38309.37,566710.98,0,0,37213,563626,0,0
AL,"(9,14]",pop10_14,2010,304286.4,4826664.225,0,0,319655,4779736,0,0
AK,"(9,14]",pop10_14,2010,54268.805,714741.33,0,0,50816,710231,0,0
AZ,"(9,14]",pop10_14,2010,451310.83,6946384.69,0,0,448664,6392017,0,0
AR,"(9,14]",pop10_14,2010,215621.33,2939165.475,0,0,197559,2915918,0,0
CA,"(9,14]",pop10_14,2010,2614190.865,39251639.415,0,0,2590930,37253956,0,0
CO,"(9,14]",pop10_14,2010,388356.74,5523826.185,0,0,332654,5029196,0,0
CT,"(9,14]",pop10_14,2010,197800.835,3564204.13,0,0,240265,3574097,0,0
DE,"(9,14]",pop10_14,2010,55224.695,959135.245,0,0,56848,897934,0,0
DC,"(9,14]",pop10_14,2010,26563.96,688986.71,0,0,25041,601723,0,0
FL,"(9,14]",pop10_14,2010,1216228.685,20741275.045,0,0,1130847,18801310,0,0
GA,"(9,14]",pop10_14,2010,712675.225,10273789.4,0,0,689684,9687653,0,0
HI,"(9,14]",pop10_14,2010,91308.42,1399406.85,0,0,81539,1360301,0,0
ID,"(9,14]",pop10_14,2010,126359.245,1706016.625,0,0,116955,1567582,0,0
IL,"(9,14]",pop10_14,2010,815885.255,12615713.62,0,0,879448,12830632,0,0
IN,"(9,14]",pop10_14,2010,419682.625,6526698.385,0,0,452171,6483802,0,0
IA,"(9,14]",pop10_14,2010,196761.005,3080441.835,0,0,200904,3046355,0,0
KS,"(9,14]",pop10_14,2010,183885.24,2870419.86,0,0,198884,2853118,0,0
KY,"(9,14]",pop10_14,2010,282330.07,4398353.07,0,0,284154,4339367,0,0
LA,"(9,14]",pop10_14,2010,297872.96,4562088.08,0,0,306836,4533372,0,0
ME,"(9,14]",pop10_14,2010,85161.115,1320428.625,0,0,79013,1328361,0,0
MD,"(9,14]",pop10_14,2010,334185.71,5956997.7,0,0,379029,5773552,0,0
MA,"(9,14]",pop10_14,2010,381926.62,6796065.885,0,0,405613,6547629,0,0
MI,"(9,14]",pop10_14,2010,654071.39,9901979.94,0,0,675216,9883640,0,0
MN,"(9,14]",pop10_14,2010,364090.335,5529119.945,0,0,352342,5303925,0,0
MS,"(9,14]",pop10_14,2010,203182.29,2949483.545,0,0,208248,2967297,0,0
MO,"(9,14]",pop10_14,2010,380380.885,5940267.25,0,0,396925,5988927,0,0
MT,"(9,14]",pop10_14,2010,62027.555,1037927.985,0,0,61124,989415,0,0
NE,"(9,14]",pop10_14,2010,137549.655,1876891.03,0,0,122706,1826341,0,0
NV,"(9,14]",pop10_14,2010,189560.315,2965758.475,0,0,183173,2700551,0,0
NH,"(9,14]",pop10_14,2010,80272.735,1326922.185,0,0,84620,1316470,0,0
NJ,"(9,14]",pop10_14,2010,570139.465,8937419.165,0,0,587335,8791894,0,0
NM,"(9,14]",pop10_14,2010,133965.735,2044839.84,0,0,141691,2059179,0,0
NY,"(9,14]",pop10_14,2010,1164840.365,19619362.82,0,0,1211456,19378102,0,0
NC,"(9,14]",pop10_14,2010,627471.435,10188697.97,0,0,631104,9535483,0,0
ND,"(9,14]",pop10_14,2010,45462.605,746065.9450000001,0,0,39790,672591,0,0
OH,"(9,14]",pop10_14,2010,732205.235,11500300.835,0,0,774699,11536504,0,0
OK,"(9,14]",pop10_14,2010,245376.38,3874311.235,0,0,253664,3751351,0,0
OR,"(9,14]",pop10_14,2010,265476.09,4171007.58,0,0,242553,3831074,0,0
PA,"(9,14]",pop10_14,2010,791717.125,12578427.3,0,0,791151,12702379,0,0
RI,"(9,14]",pop10_14,2010,57333.74,1050492.72,0,0,63824,1052567,0,0
SC,"(9,14]",pop10_14,2010,262667.765,4939724.51,0,0,297286,4625364,0,0
SD,"(9,14]",pop10_14,2010,58405.045,863327.735,0,0,53960,814180,0,0
TN,"(9,14]",pop10_14,2010,412317.775,6690624.365,0,0,418941,6346105,0,0
TX,"(9,14]",pop10_14,2010,2134365.705,27889064.725,0,0,1881883,25145561,0,0
