stabbr,popgroup,wtdn,rincome,txblsales,share2010,share2020,share2030,share2040,totpop,txc2010,txc2020,txc2030,txc2040
AK,75to79,25198.15,39111.21502089994,18821.81081929417,0.012519870295720688,0.020192052297798788,0.0363913206315192,0.033245411857583056,629135963.87,148253769816.14255,239103744908.3297,430927025981.63165,393674816156.9718
AK,80to84,17833.3,37623.83401710957,18443.73216416868,0.008426835775965848,0.010107164500709169,0.019297882350457523,0.02344184655778493,629135963.87,97781759802.93642,117279647755.30888,223925201210.11682,272010167326.16907
AK,85+,6694.77,30610.271092960626,15308.921387984656,0.006633053189736861,0.008457002617576578,0.011896091029911475,0.021196103291222828,629135963.87,63885542148.07947,81452715923.87762,114575928030.35387,204148001146.99237
AL,00to04,637664.84,0,NaN,0.06380205936060067,0.05980944320510489,0.05882022243605475,0.05813621382521455,629135963.87,NaN,NaN,NaN,NaN
AL,05to09,618087.94,0,NaN,0.06448661599720151,0.06145332346407721,0.06070997672574906,0.06009567084870697,629135963.87,NaN,NaN,NaN,NaN
AL,10to14,562288.18,0,NaN,0.06687712459432905,0.06554394142389704,0.06292260418432184,0.06323978927453736,629135963.87,NaN,NaN,NaN,NaN
AL,15to19,618695.7,2438.728214277811,2909.1061443823014,0.07185982656782718,0.06577841629804422,0.06419456684700253,0.06480966650174153,629135963.87,131519528785.1753,120389190023.83359,117490391857.78117,118616161576.5661
AL,20to24,686278.81,15718.75594821335,7935.023372973215,0.07015492069018038,0.06439959088146681,0.0646363973576289,0.06341297075791137,629135963.87,350227996864.49536,321496190023.7186,322678377345.36145,316570776579.5924
AL,25to29,659242.84,30367.20017720928,13441.025101679588,0.06507346849282053,0.06339679315422896,0.05942970996682843,0.059271414675515194,629135963.87,550276365019.2471,536098008893.36487,502551431975.7294,501212850223.11975
AL,30to34,587112.23,35242.64657178671,14021.595545626828,0.06232310738501039,0.06387382034254185,0.06004639447615209,0.061589657824193615,629135963.87,549782670347.8143,563462269239.8885,529698670124.35144,543312552360.59314
AL,35to39,560541.36,37786.0340943943,13983.851267952488,0.06452866852897315,0.0631759016106936,0.06303095035887715,0.060383321475788475,629135963.87,567706689993.5144,555805393298.3193,554530149329.1649,531236988881.036
AL,40to44,616998.31,41345.60473373883,14820.563895258378,0.06508120950613172,0.06025315575365088,0.0632401168649631,0.0607552103578151,629135963.87,606826943433.524,561809447237.8723,589660319941.1772,566490679550.4493
AL,45to49,652730.35,45214.65802817143,16228.826559696536,0.07246613620501216,0.061429803688116014,0.06159095587212627,0.06279805218789535,629135963.87,739889282873.3124,627206800004.6738,628852186113.3453,641176806607.8988
AL,50to54,671291.88,39713.2975318311,14673.806613579096,0.0726996219038039,0.06148779447690413,0.05829780056462221,0.06253049382877666,629135963.87,671149784769.6862,567644218064.0508,538194770163.5164,577270230239.3923
AL,55to59,682379.07,39030.24096627564,15122.811098740642,0.06525590534707357,0.06709744432351046,0.058249080261730105,0.0596834214242166,629135963.87,620864543260.4895,638385505530.813,554199476962.1947,567846235305.2208
AL,60to64,619185.28,40950.033266511615,16769.6117525007,0.05777034547514758,0.06574196359927613,0.05694275916721878,0.055173252195643785,629135963.87,609498280253.7062,693601767908.7316,600766941929.5983,582097995998.924
AL,65to69,505040.29,34458.9691582723,14976.216995653334,0.04385953533835341,0.059797264904805865,0.06154664134701458,0.054591923780604984,629135963.87,413247906628.47534,563414417261.5198,579897176302.8759,514369293863.1859
AL,70to74,375395.51,30364.97397752317,13933.16027171846,0.03365541527816599,0.048597490822362074,0.055359024934281485,0.04899200514202819,629135963.87,295018396640.35736,425998422680.5543,485269031467.8915,429456676904.35724
AL,75to79,253413.94,29065.042781737266,13922.989357219136,0.025699327326864915,0.032395759134180316,0.044212221159070926,0.04649500714950785,629135963.87,225112058311.6568,283769140200.04535,387274887823.4075,407270845167.2046
AL,80to84,186008.97,28948.35738835826,14190.89160399531,0.018572364666165662,0.019877841384184216,0.028731942741449464,0.03344109771968162,629135963.87,165814076706.78543,177469373194.41043,256518792480.14185,298562129385.2822
AL,85+,109555.91,25648.38814140798,12827.366232494076,0.01583434733633824,0.015890251532955306,0.018038634734908254,0.024600831030220788,629135963.87,127785675624.93867,128236831291.9984,145574621927.22098,198532579042.1052
AR,00to04,347288.16,0,NaN,0.06779648810426082,0.06353823213793766,0.06267334986776082,0.06230063092987454,629135963.87,NaN,NaN,NaN,NaN
AR,05to09,402564.02999999997,0,NaN,0.06751801662461016,0.06340147997376454,0.06339039684216174,0.06248689978601477,629135963.87,NaN,NaN,NaN,NaN
AR,10to14,419991.68,0,NaN,0.06775190523190296,0.0690367503481337,0.06602995529401981,0.06605925725621574,629135963.87,NaN,NaN,NaN,NaN
AR,15to19,387329.22,3176.16505342703,3222.2770882758327,0.06989394077611236,0.06766981242305038,0.06484961852917888,0.06576221044428711,629135963.87,141692519520.9647,137183654423.59032,131466415219.11746,133316467545.68968
AR,20to24,359386.17,16439.81538461516,8305.80565694666,0.06846900358652061,0.06308051429629169,0.06559742430417385,0.06363445835951358,629135963.87,357783480596.2692,329626031934.4434,342778097479.3982,332520656138.29535
AR,25to29,415403.32,32644.00585465181,14451.17606464995,0.06589794363215976,0.06142996879314903,0.06069717428657878,0.058996443035776676,629135963.87,599127930994.2651,558506200277.2455,551843812464.113,536381181321.0514
AR,30to34,391305.08,38336.10410812236,15288.864147772441,0.06301240295508996,0.06461861804845687,0.0607563418716011,0.06408082298150859,629135963.87,606102080996.8782,621551901428.4546,584401538668.1997,616378972069.4596
AR,35to39,330544.56,43518.7987447709,16189.490427567727,0.062969534808592,0.06409333294214867,0.060975310690839196,0.06110645681464112,629135963.87,641369312000.6879,652815635019.2367,621057360288.385,622393134793.4702
AR,40to44,356951.43,41370.69623217058,14829.874947690732,0.06261973073316876,0.06063217788277628,0.06345524511354564,0.06051267886071934,629135963.87,584242567989.1498,565698684651.8748,592037923565.8656,564583757859.6112
AR,45to49,334851.65,39626.25333158403,14223.927366787586,0.07049032243019179,0.05954227943381062,0.061850122097007555,0.05967969968186887,629135963.87,630802687417.099,532831012639.8356,553483398724.7788,534060756791.8291
AR,50to54,403667.52,40344.07270379551,14918.320266510258,0.06917958598287058,0.058895908521506043,0.05819823737085473,0.061775901428632415,629135963.87,649295505716.6864,552776489838.8335,546228391347.7807,579807100452.1451
AR,55to59,413468.58999999997,33863.62785995962,13115.50791988103,0.06308819383809833,0.06564720264983293,0.05659068068889475,0.0596217781846985,629135963.87,520568302121.6707,541683803948.4897,466954477056.8051,491965389257.0357
AR,60to64,368127.57,30618.55190480335,12545.360909672136,0.0572824750215884,0.06396390159922886,0.05557440824767586,0.05569862254451644,629135963.87,452115551756.3146,504850299382.54346,438634228687.90564,439614619554.93677
AR,65to69,293299.63,39269.42018467108,17053.97956162425,0.045737568751933355,0.05580808987009643,0.058130246915460204,0.05120021771936271,629135963.87,490730809781.2882,598780168723.8059,623695222986.7748,549341055679.5075
AR,70to74,248357.28,28816.617431419483,13284.243260542915,0.03471805448575714,0.04725630325043757,0.05282138636831849,0.04689112401412202,629135963.87,290159445107.0669,394949052648.77246,441459764535.6231,391897032420.58215
AR,75to79,166461.28,24394.873661283993,11730.129540933754,0.02666090061517505,0.033455470100755745,0.04086279778597498,0.04348846260944831,629135963.87,196753350227.3917,246896229079.72446,301561169298.19,320938172275.29663
AR,80to84,126886.96,32842.527162397375,16099.868352125683,0.019285864691668285,0.02060357978777996,0.028072683349057517,0.032060842073833674,629135963.87,195346642916.52313,208693787286.82684,284348383521.84814,324744467947.34106
AR,85+,83128.88,22305.277445501248,11155.397412631633,0.017628067730299686,0.017326377940843032,0.019474620376896033,0.024643493274965615,629135963.87,123718392659.12859,121601054763.43323,136677982382.32262,172954485093.35623
AZ,00to04,874343.04,0,NaN,0.0712943973709707,0.06799710741445776,0.06782129232320731,0.06750133602674332,629135963.87,NaN,NaN,NaN,NaN
AZ,05to09,856183.16,0,NaN,0.07097603150930293,0.06751562832695321,0.06734171430690278,0.06771799277939429,629135963.87,NaN,NaN,NaN,NaN
AZ,10to14,932751.08,0,NaN,0.07019130268270563,0.06694782393350675,0.06513774865343314,0.0660489319811187,629135963.87,NaN,NaN,NaN,NaN
