stabbr,tax2010,tax2020,tax2030,tax2040,diff.tot,pch.tot,rtax2010,rtax2020,rtax2030,rtax2040,diff.pc,pch.pc,region
ID,3049.451809122808,2995.474057458677,2905.953690291438,2928.015082355644,-143.49811883137,-4.705702133153181,932.6563057417738,916.1475383926037,888.7682780674955,895.5156207736728,-43.888027674278305,-4.705702133153181,other
IL,30806.463677886084,30380.71256336348,29773.862380249953,29665.36679613125,-1032.6012976361308,-3.351898187448782,1208.1075721178574,1191.4112985477886,1167.6130363056075,1163.3582689267328,-40.49453581224998,-3.351898187448782,other
WV,3010.891108218808,2941.770117827556,2867.224072694799,2862.2791333454793,-143.66703552400895,-4.771578591196544,831.0326544601139,811.9546479633145,791.3792782340428,790.0144311087543,-39.653376226071146,-4.771578591196544,other
CA,79453.39194904084,78061.4451348975,76451.2473843681,75777.51013378282,-3002.1445646727516,-3.7784976714376626,1021.0517564018842,1003.1639141772172,982.4713395620655,973.8131742378628,-38.58041683981867,-3.778497671437677,other
IN,13385.136249658815,13230.221301584223,12936.087318979597,12865.912883982972,-449.04893067921876,-3.354832721188515,1030.4503611911787,1018.5242842936464,995.8804752983318,990.4781192415899,-34.569885892846855,-3.354832721188501,other
CO,9907.376043901973,9695.989854376505,9535.205041947145,9515.752008568312,-372.17100195482817,-3.7565042480031963,917.4575105574125,897.8824135439482,882.9931801996992,881.1917615902257,-34.46433035771338,-3.756504248003182,other
OH,15495.388438281709,15179.26267296349,14739.965574559867,14687.792504491998,-755.4228637218421,-4.875146349061836,674.1090596572014,660.3563716725879,641.2452564466282,638.9755270143546,-32.863803210573224,-4.8751463490618505,other
MT,1860.735167703842,1859.5770356998557,1801.0317782819034,1809.713258680123,-59.70338942193871,-3.208591445907544,917.9170261529591,917.3457094479048,888.4648189712865,892.7474696182203,-29.452207181672634,-3.2085914459075298,other
MS,3091.023086501798,3036.1604374884496,2934.493943952729,2919.7615353271863,-156.5291425490691,-5.06399137659686,522.6696726033119,513.3927950144067,496.20172545459315,493.71058159138596,-26.467947148718793,-5.06399137659686,other
AL,6511.199945375629,6412.965919309408,6278.20170398911,6265.7578428532515,-232.9982413865191,-3.5784224619303586,678.1149780859755,667.8843040179025,653.8491593924331,652.5531818933175,-24.26581869354243,-3.578422461930316,other
KS,3960.832774447171,3930.7876446800747,3844.1751781211688,3807.861842235734,-116.65759632600202,-2.9452795149192923,694.2338707549375,688.9677189319898,673.7867427739609,667.4219328545904,-20.447127980976575,-2.9452795149193065,other
MN,12171.210539603544,12291.792191799163,11991.798549015935,11846.853266595408,-179.41199058760867,-1.4740685817883588,1118.522580467363,1129.603918706645,1102.0347905284852,1088.7144580281108,-16.487789938877768,-1.4740685817883588,other
NE,3465.9251035540437,3484.9628020321175,3405.478367005921,3391.0258607585383,-60.44673654812277,-1.7440289314428412,926.5026293566146,931.5917403933033,910.3441554500566,906.4807467961125,-16.158473906558015,-1.7440289314428412,other
AZ,5182.935886161626,5087.771049634472,4998.630960895315,4989.09788061316,-184.30492526631042,-3.555994697105973,386.8812984184241,379.7776999313764,373.1238199625701,372.4122212551011,-13.75747845585397,-3.5559946971059873,other
LA,4113.0849197851,4074.2618111380534,3995.535591980303,4008.3550114105005,-117.54932780479749,-2.8579358339856213,448.9889513321527,444.7509773591274,436.15713520139474,437.5565173680416,-12.831816130757943,-2.8579358339856356,other
MO,11060.863644333516,11102.996500809539,10940.306315565877,10866.605435715135,-120.55732876763977,-1.0899449866141424,927.6121293861355,931.1455739678219,917.5016674866666,911.320791174083,-10.110461899468874,-1.0899449866141424,other
OK,2526.3226505045036,2495.5367303881917,2456.7163529211616,2460.962761754232,-69.60629758334198,-2.755241796586887,330.468969394975,326.44185461188033,321.36375022545474,321.9192241473681,-9.10521916952024,-2.7552417965868727,other
AR,3037.955223427224,3028.910261801182,2999.674036016771,2988.888503873124,-38.281187410453185,-1.2600971572999953,519.396215777476,517.8498075867988,512.8513188273403,511.0073270076594,-6.544896950135694,-1.2600971572999953,other
ND,434.6069285787826,433.5505635432907,430.5421875848534,430.5346595989364,-4.064740993929149,-0.9352683371204762,290.35218662962626,289.6464503015444,287.63661456194245,287.6315852652879,-2.7155720676838087,-0.935268337120462,other
UT,5500.904354136696,5555.5669950240435,5494.329304786548,5501.023824057821,-6.57504935014822,-0.11952669828195894,927.0228806414667,936.2347330127503,925.9148407999177,927.0430139401576,-1.1080398415490436,-0.11952669828195894,other
AK,0,0,0,0,0,NaN,0,0,0,0,0,NaN,other
FL,0,0,0,0,0,NaN,0,0,0,0,0,NaN,other
NV,0,0,0,0,0,NaN,0,0,0,0,0,NaN,other
SD,0,0,0,0,0,NaN,0,0,0,0,0,NaN,other
TX,0,0,0,0,0,NaN,0,0,0,0,0,NaN,other
WA,0,0,0,0,0,NaN,0,0,0,0,0,NaN,other
WY,0,0,0,0,0,NaN,0,0,0,0,0,NaN,other
NM,1905.5335638787005,1928.723331086238,1916.1158054787318,1909.91654041087,10.582241600031239,0.5553427029902878,467.47413107478326,473.16314987805424,470.07021455007435,468.5493827443086,2.5960834752910955,0.5553427029902878,other
TN,694.0249493360802,756.3245313236984,790.8882700428652,782.0227815254361,96.86332070678498,13.956749076448418,52.90443456174756,57.653434092155116,60.28817374384452,59.61237144368669,7.38373918209696,13.956749076448418,other
DC,3003.815451814231,3135.718741191472,3115.3114759937243,3075.6307487162253,111.49602417949336,3.711813390937607,2252.257741668199,2351.158692614424,2335.857346121868,2306.1047775505217,83.59960445366914,3.711813390937607,other
