stabbr,agebrk,wtdn,rtax,popgroup,totpop,share2010,share2020,share2030,share2040,tax2010,tax2020,tax2030,tax2040
NC,"(-1,4]",1189698.27,0,00to04,19737889.29,0.06628295598660289,0.06020876839664208,0.0600664383065271,0.06000662816367606,0,0,0,0
NC,"(4,9]",1306845.85,0,05to09,19737889.29,0.06669247902806812,0.06031086316131494,0.06001495161302932,0.060519957246712996,0,0,0,0
NC,"(9,14]",1274672.63,0,10to14,19737889.29,0.0661847963024002,0.0652040276962035,0.06069147655384681,0.061956405463277846,0,0,0,0
NC,"(14,19]",1313466.54,17.283145064060786,15to19,19737889.29,0.0691722695116755,0.06642427713595492,0.061551823692196785,0.06267454844979183,23596930.247700494,22659499.90359206,20997346.198658,21380344.443176564
NC,"(19,24]",1520859.83,420.4759719467309,20to24,19737889.29,0.06938012474040381,0.06924717078861785,0.06990586691021473,0.0665814545510062,575807037.022633,574703611.2025617,580170333.3148978,552580010.6171564
NC,"(24,29]",1306046.46,1142.652643591936,25to29,19737889.29,0.06575817921336549,0.06800287087370743,0.06691407280669749,0.06344799828721251,1483080473.2902877,1533706241.9754105,1509149978.8328562,1430977689.0841098
NC,"(29,34]",1084053.2,1571.1379739357717,30to34,19737889.29,0.0649738455828614,0.06267446768609156,0.06409926015880471,0.06621417631622808,2014900507.0219743,1943594620.038139,1987778784.4494894,2053364338.1391938
NC,"(34,39]",1171164.44,1721.3919775373558,35to39,19737889.29,0.06919869711896083,0.0611398914518538,0.06478844201314747,0.06523401750633553,2351139516.46539,2077328343.0139916,2201293847.5629067,2216433007.593652
NC,"(39,44]",1250865.69,1982.49035717742,40to44,19737889.29,0.06998156254906018,0.05921792565260883,0.05853298568075233,0.061256109824748856,2738390802.5069294,2317207805.0838113,2290405983.991487,2396962308.8059974
NC,"(44,49]",1479802.73,1768.1832185267626,45to49,19737889.29,0.07327924552956573,0.061625277327723556,0.05579316999411117,0.060497897672289636,2557460662.774101,2150734787.991364,1947193048.7307959,2111389007.341633
NC,"(49,54]",1385106.08,1838.2881124484775,50to54,19737889.29,0.07025265526664984,0.06194517552133832,0.05371213902057284,0.054325822143983904,2549042232.5777793,2247614241.8960342,1948887344.4834013,1971154178.2857337
NC,"(54,59]",1410477.11,1741.5313280134903,55to59,19737889.29,0.06299859168119748,0.06389081045347894,0.055056893016059774,0.05100587740309248,2165523200.7206545,2196192464.904709,1892534039.3197525,1753283810.667728
NC,"(59,64]",1217182.7,1407.529355994141,60to64,19737889.29,0.05642493411188505,0.060211658294481815,0.05440273549886755,0.04826941886741421,1567578256.0824172,1672779734.5396128,1511398224.592074,1341004515.8449728
NC,"(64,69]",1059991.05,1083.8257361611024,65to69,19737889.29,0.042265714280021266,0.06052249489481343,0.0614414218546105,0.054097289634606645,904166435.1504372,1294723380.1114519,1314381462.9702597,1157272610.9906023
NC,"(69,74]",609385.05,955.9455181423631,70to74,19737889.29,0.030889153700971415,0.04916908670314616,0.052521672581880535,0.04848636698577312,582827264.5232832,927739379.9688853,990997133.0202644,914857587.5713122
NC,"(74,79]",544193.53,461.93112449980794,75to79,19737889.29,0.023455025823023334,0.032631057428586324,0.046773151826372136,0.04851566827749458,213852262.68190005,297515147.391414,426456335.04335266,442343807.8879652
NC,"(79,84]",352780.27,419.8579494232769,80to84,19737889.29,0.01734531958160903,0.019753525637842346,0.03147513713594178,0.03435223392328961,143742566.55751044,163699634.38169435,260837914.99967182,284680731.76081336
NC,"(84,1e+09]",261297.86,279.5003926627642,85+,19737889.29,0.01546444999167845,0.0178206508955942,0.022258361336366873,0.03255812928306587,85313470.5763393,98312036.74560681,122793766.08734861,179614988.31876764
ND,"(-1,4]",105356.48,0,00to04,1496826.78,0.06630329576220913,0.06188566679598307,0.059376802979959654,0.05752411923886629,0,0,0,0
ND,"(4,9]",100428.34,0,05to09,1496826.78,0.05958450232013215,0.060317968695479854,0.06026015744885563,0.056719426851529954,0,0,0,0
ND,"(9,14]",95234.23,0,10to14,1496826.78,0.05915928104895843,0.0686348128327283,0.0621878032155743,0.06150917421321165,0,0,0,0
ND,"(14,19]",84086.99,16.017344171553766,15to19,1496826.78,0.07058375743951376,0.06577918538012845,0.06464094337491601,0.06657316212479,1692258.9743834978,1577068.447830212,1549778.8798302135,1596104.1909012254
ND,"(19,24]",125598.61,289.0776936202558,20to24,1496826.78,0.08765505336824311,0.06964144389431083,0.07843233363103623,0.07325948210852129,37928274.388311625,30133799.379769545,33937610.62897598,31699321.74114988
ND,"(24,29]",125852.41,303.577862084405,25to29,1496826.78,0.07373872085710335,0.06409782813396953,0.05798729299567991,0.058743521226727054,33507130.909788918,29126275.766026847,26349627.37251445,26693260.10767511
ND,"(29,34]",117818.74,326.9208063850453,30to34,1496826.78,0.0607932606888882,0.07276387627540966,0.0561193250301392,0.06515500078169736,29748806.290299203,35606553.02445576,27461644.77025821,31883196.840160407
ND,"(34,39]",94438.51,418.2902745802533,35to39,1496826.78,0.05510778467151657,0.07215579776359161,0.060887024529354336,0.056783507772415406,34503429.51854481,45177328.34535919,38121858.317565925,35552613.299912535
ND,"(39,44]",82393.43,455.94391185559334,40to44,1496826.78,0.056790828304274066,0.0612921647171361,0.07121494659025693,0.056620762085001,38757983.06424854,41830005.8831702,48601997.475335546,38641918.13187829
ND,"(44,49]",78933.02,552.9693022791981,45to49,1496826.78,0.06895721173789122,0.05508700790558164,0.07001857497188842,0.060908055036941716,57075833.13879853,45595475.68839685,57954322.70234903,50413552.0924349
ND,"(49,54]",89534.57,557.024737526075,50to54,1496826.78,0.07475122325454846,0.0569144148903048,0.059628630688086125,0.07142150122717866,62325293.34518699,47453505.76443022,49716536.23314658,59549072.5279427
ND,"(54,59]",102425.27,600.5744671745556,55to59,1496826.78,0.06831194589282343,0.06820391954247884,0.0528913471367398,0.06930373769153281,61409429.93301264,61312319.00306179,47546990.992647104,62301007.06750881
